Ticker_symbol,Security,Sector,Sub_Industry,Headquarter
MMM,3M Company,Industrials,Industrial Conglomerates,St. Paul; Minnesota
ABT,Abbott Laboratories,Health Care,Health Care Equipment,North Chicago; Illinois
ABBV,AbbVie,Health Care,Pharmaceuticals,North Chicago; Illinois
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,Dublin; Ireland
ATVI,Activision Blizzard,Information Technology,Home Entertainment Software,Santa Monica; California
AYI,Acuity Brands Inc,Industrials,Electrical Components & Equipment,Atlanta; Georgia
ADBE,Adobe Systems Inc,Information Technology,Application Software,San Jose; California
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,Roanoke; Virginia
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,Arlington; Virginia
AET,Aetna Inc,Health Care,Managed Health Care,Hartford; Connecticut
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,Beverly; Massachusetts
AFL,AFLAC Inc,Financials,Life & Health Insurance,Columbus; Georgia
A,Agilent Technologies Inc,Health Care,Health Care Equipment,Santa Clara; California
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,Allentown; Pennsylvania
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services,Cambridge; Massachusetts
ALK,Alaska Air Group Inc,Industrials,Airlines,Seattle; Washington
ALB,Albemarle Corp,Materials,Specialty Chemicals,Baton Rouge; Louisiana
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,Cheshire; Connecticut
ALLE,Allegion,Industrials,Building Products,Dublin; Ireland
AGN,Allergan; Plc,Health Care,Pharmaceuticals,Dublin; Ireland
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,Plano; Texas
LNT,Alliant Energy Corp,Utilities,Electric Utilities,Madison; Wisconsin
ALL,Allstate Corp,Financials,Property & Casualty Insurance,Northfield Township; Illinois
GOOGL,Alphabet Inc Class A,Information Technology,Internet Software & Services,Mountain View; California
GOOG,Alphabet Inc Class C,Information Technology,Internet Software & Services,Mountain View; California
MO,Altria Group Inc,Consumer Staples,Tobacco,Richmond; Virginia
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,Seattle; Washington
AEE,Ameren Corp,Utilities,MultiUtilities,St. Louis; Missouri
AAL,American Airlines Group,Industrials,Airlines,Fort Worth; Texas
AEP,American Electric Power,Utilities,Electric Utilities,Columbus; Ohio
AXP,American Express Co,Financials,Consumer Finance,New York; New York
AIG,American International Group; Inc.,Financials,Property & Casualty Insurance,New York; New York
AMT,American Tower Corp A,Real Estate,Specialized REITs,Boston; Massachusetts
AWK,American Water Works Company Inc,Utilities,Water Utilities,Voorhees; New Jersey
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Minneapolis; Minnesota
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,Chesterbrook; Pennsylvania
AME,AMETEK Inc,Industrials,Electrical Components & Equipment,Berwyn; Pennsylvania
AMGN,Amgen Inc,Health Care,Biotechnology,Thousand Oaks; California
APH,Amphenol Corp,Information Technology,Electronic Components,Wallingford; Connecticut
APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,The Woodlands; Texas
ADI,Analog Devices; Inc.,Information Technology,Semiconductors,Norwood; Massachusetts
ANTM,Anthem Inc.,Health Care,Managed Health Care,Indianapolis; Indiana
AON,Aon plc,Financials,Insurance Brokers,London; United Kingdom
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,Houston; Texas
AIV,Apartment Investment & Mgmt,Real Estate,REITs,Denver; Colorado
AAPL,Apple Inc.,Information Technology,Computer Hardware,Cupertino; California
AMAT,Applied Materials Inc,Information Technology,Semiconductor Equipment,Santa Clara; California
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,Decatur; Illinois
ARNC,Arconic Inc,Industrials,Aerospace & Defense,New York; New York
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Itasca; Illinois
AIZ,Assurant Inc,Financials,Multi-line Insurance,New York; New York
T,AT&T Inc,Telecommunications Services,Integrated Telecommunications Services,Dallas; Texas
ADSK,Autodesk Inc,Information Technology,Application Software,San Rafael; California
ADP,Automatic Data Processing,Information Technology,Internet Software & Services,Roseland; New Jersey
AN,AutoNation Inc,Consumer Discretionary,Specialty Stores,Fort Lauderdale; Florida
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,Memphis; Tennessee
AVB,AvalonBay Communities; Inc.,Real Estate,Residential REITs,Arlington; Virginia[3]
AVY,Avery Dennison Corp,Materials,Paper Packaging,Glendale; California
BHI,Baker Hughes Inc,Energy,Oil & Gas Equipment & Services,Houston; Texas
BLL,Ball Corp,Materials,Metal & Glass Containers,Broomfield; Colorado
BAC,Bank of America Corp,Financials,Banks,Charlotte; North Carolina
BCR,Bard (C.R.) Inc.,Health Care,Health Care Equipment,Murray Hill; New Jersey
BAX,Baxter International Inc.,Health Care,Health Care Equipment,Deerfield; Illinois
BBT,BB&T Corporation,Financials,Banks,Winston-Salem; North Carolina
BDX,Becton Dickinson,Health Care,Health Care Equipment,Franklin Lakes; New Jersey
BBBY,Bed Bath & Beyond,Consumer Discretionary,Specialty Stores,Union; New Jersey
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,Omaha; Nebraska
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,Richfield; Minnesota
BIIB,BIOGEN IDEC Inc.,Health Care,Biotechnology,Weston; Massachusetts
BLK,BlackRock,Financials,Asset Management & Custody Banks,New York; New York
HRB,Block H&R,Financials,Consumer Finance,Kansas City; Missouri
BA,Boeing Company,Industrials,Aerospace & Defense,Chicago; Illinois
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,Auburn Hills; Michigan
BXP,Boston Properties,Real Estate,REITs,Boston; Massachusetts
BSX,Boston Scientific,Health Care,Health Care Equipment,Marlborough; Massachusetts[4]
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,New York; New York
AVGO,Broadcom,Information Technology,Semiconductors,San Jose; California
BF.B,Brown-Forman Corporation,Consumer Staples,Distillers & Vintners,Louisville; Kentucky
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,Eden Prairie; Minnesota
CA,CA; Inc.,Information Technology,Systems Software,Islandia; New York
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,Houston; Texas
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,Camden; New Jersey
COF,Capital One Financial,Financials,Consumer Finance,Tysons Corner; Virginia
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,Dublin; Ohio
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,Richmond; Virginia
CCL,Carnival Corp.,Consumer Discretionary,Hotels; Resorts & Cruise Lines,Miami; Florida
CAT,Caterpillar Inc.,Industrials,Construction & Farm Machinery & Heavy Trucks,Peoria; Illinois
CBG,CBRE Group,Real Estate,Real Estate Services,Los Angeles; California
CBS,CBS Corp.,Consumer Discretionary,Broadcasting & Cable TV,New York; New York
CELG,Celgene Corp.,Health Care,Biotechnology,Summit; New Jersey
CNC,Centene Corporation,Health Care,Managed Health Care,St Louis; Missouri
CNP,CenterPoint Energy,Utilities,MultiUtilities,Houston; Texas
CTL,CenturyLink Inc,Telecommunications Services,Integrated Telecommunications Services,Monroe; Louisiana
CERN,Cerner,Health Care,Health Care Technology,North Kansas City; Missouri
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,Deerfield; Illinois
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,San Francisco; California
CHTR,Charter Communications,Consumer Discretionary,Cable & Satellite,Stamford; Connecticut
CHK,Chesapeake Energy,Energy,Integrated Oil & Gas,Oklahoma City; Oklahoma
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,San Ramon; California
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,Denver; Colorado
CB,Chubb Limited,Financials,Property & Casualty Insurance,Zurich; Switzerland
CHD,Church & Dwight,Consumer Staples,Household Products,Ewing; New Jersey
CI,CIGNA Corp.,Health Care,Managed Health Care,Philadelphia; Pennsylvania
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,Denver; Colorado
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,Fairfield; Ohio
CTAS,Cintas Corporation,Industrials,Diversified Support Services,Mason; Ohio
CSCO,Cisco Systems,Information Technology,Networking Equipment,San Jose; California
C,Citigroup Inc.,Financials,Banks,New York; New York
CFG,Citizens Financial Group,Financials,Regional Banks,Providence; Rhode Island
CTXS,Citrix Systems,Information Technology,Internet Software & Services,Fort Lauderdale; Florida
CME,CME Group Inc.,Financials,Financial Exchanges & Data,Chicago; Illinois
CMS,CMS Energy,Utilities,MultiUtilities,Jackson; Michigan
COH,Coach Inc.,Consumer Discretionary,Apparel; Accessories & Luxury Goods,New York; New York
KO,Coca Cola Company,Consumer Staples,Soft Drinks,Atlanta; Georgia
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,Teaneck; New Jersey
CL,Colgate-Palmolive,Consumer Staples,Household Products,New York; New York
CMCSA,Comcast A Corp,Consumer Discretionary,Cable & Satellite,Philadelphia; Pennsylvania
CMA,Comerica Inc.,Financials,Regional Banks,Dallas; Texas
CAG,ConAgra Foods Inc.,Consumer Staples,Packaged Foods & Meats,Omaha; Nebraska
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,Midland; Texas
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,Houston; Texas
ED,Consolidated Edison,Utilities,Electric Utilities,New York; New York
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,Victor; New York
GLW,Corning Inc.,Information Technology,Electronic Components,Corning; New York
COST,Costco Co.,Consumer Staples,Hypermarkets & Super Centers,Issaquah; Washington
COTY,Coty; Inc,Consumer Staples,Personal Products,New York; NY
CCI,Crown Castle International Corp.,Real Estate,REITs,Houston; Texas
CSRA,CSRA Inc.,Information Technology,IT Consulting & Other Services,Falls Church; Virginia
CSX,CSX Corp.,Industrials,Railroads,Jacksonville; Florida
CMI,Cummins Inc.,Industrials,Industrial Machinery,Columbus; Indiana
CVS,CVS Health,Consumer Staples,Drug Retail,Woonsocket; Rhode Island
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,Fort Worth; Texas
DHR,Danaher Corp.,Industrials,Industrial Conglomerates,Washington; D.C.
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,Orlando; Florida
DVA,DaVita Inc.,Health Care,Health Care Facilities,Denver; Colorado
DE,Deere & Co.,Industrials,Construction & Farm Machinery & Heavy Trucks,Moline; Illinois
DLPH,Delphi Automotive,Consumer Discretionary,Auto Parts & Equipment,Gillingham; Kent; United Kingdom
DAL,Delta Air Lines,Industrials,Airlines,Atlanta; Georgia
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,York; Pennsylvania
DVN,Devon Energy Corp.,Energy,Oil & Gas Exploration & Production,Oklahoma City; Oklahoma
DLR,Digital Realty Trust,Real Estate,Specialized REITs,San Francisco; California
DFS,Discover Financial Services,Financials,Consumer Finance,Riverwoods; Illinois
DISCA,Discovery Communications-A,Consumer Discretionary,Cable & Satellite,Silver Spring; Maryland
DISCK,Discovery Communications-C,Consumer Discretionary,Cable & Satellite,Silver Spring; Maryland
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,Goodlettsville; Tennessee
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,Chesapeake; Virginia
D,Dominion Resources,Utilities,Electric Utilities,Richmond; Virginia
DOV,Dover Corp.,Industrials,Industrial Machinery,Downers Grove; Illinois
DOW,Dow Chemical,Materials,Diversified Chemicals,Midland; Michigan
DPS,Dr Pepper Snapple Group,Consumer Staples,Soft Drinks,Plano; Texas
DTE,DTE Energy Co.,Utilities,MultiUtilities,Detroit; Michigan
DD,Du Pont (E.I.),Materials,Diversified Chemicals,Wilmington; Delaware
DUK,Duke Energy,Utilities,Electric Utilities,Charlotte; North Carolina
DNB,Dun & Bradstreet,Industrials,Research & Consulting Services,Short Hills; New Jersey
ETFC,E*Trade,Financials,Investment Banking & Brokerage,New York; New York
EMN,Eastman Chemical,Materials,Diversified Chemicals,Kingsport; Tennessee
ETN,Eaton Corporation,Industrials,Industrial Conglomerates,Dublin; Ireland
EBAY,eBay Inc.,Information Technology,Internet Software & Services,San Jose; California
ECL,Ecolab Inc.,Materials,Specialty Chemicals,St. Paul; Minnesota
EIX,Edison Int'l,Utilities,Electric Utilities,Rosemead; California
EW,Edwards Lifesciences,Health Care,Health Care Equipment,Irvine; California
EA,Electronic Arts,Information Technology,Home Entertainment Software,Redwood City; California
EMR,Emerson Electric Company,Industrials,Industrial Conglomerates,Ferguson; Missouri
ENDP,Endo International,Health Care,Pharmaceuticals,Dublin; Ireland
ETR,Entergy Corp.,Utilities,Electric Utilities,New Orleans; Louisiana
EVHC,Envision Healthcare Corp,Health Care,Health Care Services,Nashville; Tennessee
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,Houston; Texas
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,Pittsburgh; Pennsylvania
EFX,Equifax Inc.,Industrials,Research & Consulting Services,Atlanta; Georgia
EQIX,Equinix,Real Estate,REITs,Redwood City; California
EQR,Equity Residential,Real Estate,REITs,Chicago; Illinois
ESS,Essex Property Trust; Inc.,Real Estate,Residential REITs,Palo Alto; California
EL,Estee Lauder Cos.,Consumer Staples,Personal Products,New York; New York
ES,Eversource Energy,Utilities,MultiUtilities,Springfield; Massachusetts
EXC,Exelon Corp.,Utilities,MultiUtilities,Chicago; Illinois
EXPE,Expedia Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,Bellevue; Washington
EXPD,Expeditors Int'l,Industrials,Air Freight & Logistics,Seattle; Washington
ESRX,Express Scripts,Health Care,Health Care Distributors,Cool Valley; Missouri
EXR,Extra Space Storage,Real Estate,Specialized REITs,Salt Lake City; UT
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,Irving; Texas
FFIV,F5 Networks,Information Technology,Networking Equipment,Seattle; Washington
FB,Facebook,Information Technology,Internet Software & Services,Menlo Park; California
FAST,Fastenal Co,Industrials,Building Products,Winona; Minnesota
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,Rockville; Maryland
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,Memphis; Tennessee
FIS,Fidelity National Information Services,Information Technology,Internet Software & Services,Jacksonville; Florida
FITB,Fifth Third Bancorp,Financials,Banks,Cincinnati; Ohio
FSLR,First Solar Inc,Information Technology,Semiconductors,Tempe; Arizona
FE,FirstEnergy Corp,Utilities,Electric Utilities,Akron; Ohio
FISV,Fiserv Inc,Information Technology,Internet Software & Services,Brookfield; Wisconsin
FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,Wilsonville; Oregon
FLS,Flowserve Corporation,Industrials,Industrial Machinery,Irving; Texas
FLR,Fluor Corp.,Industrials,Diversified Commercial Services,Irving; Texas
FMC,FMC Corporation,Materials,Diversified Chemicals,Philadelphia; Pennsylvania
FTI,FMC Technologies Inc.,Energy,Oil & Gas Equipment & Services,Houston; Texas
FL,Foot Locker Inc,Consumer Discretionary,Apparel Retail,New York; New York
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,Dearborn; Michigan
FTV,Fortive Corp,Industrials,Industrial Machinery,Everett; Washington
FBHS,Fortune Brands Home & Security,Industrials,Building Products,Deerfield; Illinois
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,San Mateo; California
